"","bp_ig2"
"Eric Andersen",-0.0519068925274836
"John Barlow",-0.0586519891749785
"Bob Bralove",-0.040872222812035
"Andrew Charles",0.0152271687238667
"John Dawson",0.0179831537440856
"Willie Dixon",-0.080031438753832
"Jerry Garcia",-0.0472622721345401
"Donna Godchaux",0.227916309076828
"Keith Godchaux",0.218568024047062
"Gerrit Graham",-0.0519068925274836
"Frank Guida",0.568789570492559
"Mickey Hart",0.0283975477696978
"Bruce Hornsby",0
"Robert Hunter",-0.0321416553792594
"Bill Kreutzmann",-0.129881429317545
"Ned Lagin",0.0152271687238667
"Phil Lesh",-0.0334663719050759
"Peter Monk",0.0152271687238667
"Brent Mydland",0.0975309502403816
"Dave Parker",-0.16512988462676
"Robert Petersen",0.207133165764791
"Pigpen",-0.0973870812578851
"Joe Royster",0.568789570492559
"Rob Wasserman",-0.0768180868552909
"Bob Weir",-0.100600433156426
"Vince Welnick",-0.0147331473709675
